id,ans
1,1446
2,10093
3,5127
4,5272
5,4265
6,273
7,2522
8,78
9,3376
10,1634
11,2522
12,10010
13,8916
14,2930
15,8098
16,5235
17,4717
18,7524
19,6718
20,7318
21,9023
22,9730
23,4861
24,1686
25,3404
26,5020
27,6330
28,4094
29,6134
30,3569
31,4161
32,3522
33,7153
34,8469
35,5225
36,8939
37,4908
38,7195
39,8089
40,7406
41,2235
42,1711
43,9297
44,1962
45,2984
46,4773
47,8942
48,3706
49,3130
50,3845
51,2761
52,5479
53,951
54,676
55,2263
56,2006
57,3808
58,3862
59,2086
60,7755
61,7348
62,10044
63,1996
64,1944
65,3184
66,1601
67,2996
68,5765
69,5702
70,844
71,2546
72,5543
73,4151
74,1092
75,8412
76,6314
77,8278
78,8393
79,2235
80,7261
81,8942
82,4814
83,1287
84,2221
85,1496
86,8742
87,10086
88,3854
89,417
90,10093
91,6387
92,4374
93,5427
94,1885
95,9711
96,5489
97,9026
98,3941
99,5042
100,5187
101,9014
102,2914
103,8957
104,8288
105,3643
106,5982
107,4527
108,6633
109,6231
110,9166
111,9730
112,4976
113,4221
114,7200
115,4164
116,2897
117,1281
118,3438
119,7271
120,8974
121,3504
122,10175
123,2015
124,5189
125,4887
126,8803
127,1550
128,6200
129,4135
130,2156
131,8788
132,7409
133,5234
134,7348
135,5982
136,1446
137,433
138,6200
139,2231
140,4782
141,6394
142,4256
143,2880
144,1023
145,5452
146,7756
147,8826
148,10159
149,6458
150,5198
151,4031
152,4125
153,301
154,6288
155,6298
156,7367
157,1209
158,4338
159,7158
160,4693
161,3862
162,8827
163,9010
164,8379
165,4637
166,9926
167,5247
168,2221
169,7867
170,3067
171,1574
172,2309
173,289
174,2219
175,3875
176,6675
177,10117
178,4221
179,2861
180,8749
181,7317
182,9187
183,3875
184,9918
185,4143
186,4852
187,2301
188,4741
189,3730
190,9769
191,10174
192,10127
193,3175
194,25
195,4028
196,5234
197,9818
198,7265
199,1984
200,6394
201,5382
202,2084
203,6207
204,7346
205,6936
206,8500
207,8831
208,4582
209,1631
210,8632
211,5334
212,1389
213,4424
214,2507
215,4975
216,6955
217,2984
218,3017
219,1180
220,3911
221,5291
222,1985
223,4832
224,8722
225,8632
226,1373
227,4811
228,8905
229,47
230,6814
231,2972
232,6682
233,4439
234,4625
235,5638
236,8682
237,7294
238,1648
239,7237
240,3135
241,8470
242,4710
243,4251
244,3035
245,7133
246,5449
247,1448
248,9812
249,4924
250,3981
251,6558
252,4562
253,4220
254,4393
255,1356
256,6143
257,1382
258,8761
259,6809
260,10014
261,1634
262,7226
263,9984
264,5581
265,8776
266,10160
267,8482
268,6558
269,3846
270,3305
271,9150
272,6232
273,4311
274,2141
275,5235
276,3782
277,3496
278,1180
279,6418
280,6876
281,4600
282,6166
283,1559
284,5495
285,9758
286,10070
287,4874
288,3231
289,4247
290,8278
291,6583
292,1535
293,6997
294,8494
295,6995
296,8722
297,8431
298,6183
299,9693
300,5581
301,5293
302,10014
303,5866
304,5221
305,5519
306,8208
307,1589
308,3641
309,6718
310,6363
311,4126
312,10016
313,997
314,1297
315,6681
316,7067
317,7073
318,5126
319,1170
320,4153
321,1566
322,2243
323,6280
324,4805
325,7881
326,4975
327,6851
328,1149
329,3010
330,5696
331,6320
332,6803
333,495
334,403
335,6214
336,5444
337,8393
338,9850
339,5464
340,1581
341,4583
342,8904
343,5353
344,2097
345,1601
346,9065
347,7233
348,1371
349,8812
350,3485
351,2819
352,6046
353,417
354,5344
355,3980
356,6134
357,5703
358,9166
359,1810
360,7003
361,8385
362,25
363,7641
364,8374
365,2314
366,8089
367,1549
368,1951
369,6672
370,1839
371,5609
372,2153
373,7003
374,8939
375,8974
376,4671
377,5147
378,2533
379,5301
380,4028
381,5028
382,4049
383,1275
384,987
385,6400
386,8618
387,6995
388,7066
389,10055
390,1840
391,10130
392,6076
393,348
394,5450
395,3911
396,5042
397,3625
398,3022
399,5539
400,6025
401,600
402,4221
403,3469
404,2516
405,6079
406,5423
407,1474
408,6042
409,8817
410,7320
411,8910
412,5125
413,447
414,4511
415,9979
416,5020
417,7796
418,1839
419,1362
420,3620
421,5423
422,5222
423,3329
424,2870
425,7673
426,8876
427,9601
428,2518
429,1221
430,2309
431,5221
432,7256
433,2813
434,8566
435,1580
436,7120
437,3404
438,4125
439,5144
440,9156
441,1578
442,3477
443,871
444,2945
445,3847
446,5582
447,1672
448,7866
449,4219
450,2073
451,7924
452,5350
453,1996
454,9705
455,31
456,2996
457,4872
458,3625
459,8626
460,6714
461,8942
462,2078
463,21
464,1187
465,8275
466,5088
467,1585
468,6802
469,6367
470,1488
471,8847
472,8511
473,3862
474,924
475,6005
476,8701
477,4126
478,6163
479,3994
480,6429
481,5750
482,4352
483,8933
484,5303
